Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2023-03-30,56919.516474104836,147478.51647410484,16,-0.005824358521994033,-0.8604455732492369
2023-03-31,56919.516474104836,148925.51647410484,16,0.009811598560893309,-0.8590763212365629
2023-04-03,79572.11108625481,149991.11108625482,11,0.007155218510424222,-0.8580679815217176
2023-04-04,79572.11108625481,149548.11108625482,11,-0.00295350835654018,-0.8584871789243538
2023-04-06,79572.11108625481,150632.11108625482,11,0.007248503455685729,-0.8574614227517632
2023-04-07,79572.11108625481,149996.11108625482,11,-0.004222207306354586,-0.858063250174058
2023-04-10,58916.64237582984,148393.64237582983,15,-0.01068340171501847,-0.8595796174905727
2023-04-11,58916.64237582984,150450.64237582983,15,0.013861779838184152,-0.8576331410634334
2023-04-12,58916.64237582984,151567.64237582983,15,0.007424361786436906,-0.8565761579962896
2023-04-13,58916.64237582984,150954.64237582983,15,-0.004044398859751275,-0.8571562212193506
2023-04-14,58916.64237582984,151389.64237582983,15,0.002881660299767219,-0.8567445939729696
2023-04-17,86907.16586855982,149771.16586855982,11,-0.01069080078313478,-0.8582761089799117
2023-04-18,86907.16586855982,149191.16586855982,11,-0.003872574514836913,-0.8588249453084196
2023-04-19,86907.16586855982,149810.16586855982,11,0.004149039230280982,-0.8582392044681673
2023-04-20,86907.16586855982,150004.16586855982,11,0.001294972199484823,-0.8580556281789766
2023-04-21,86907.16586855982,147946.16586855982,11,-0.013719618972471093,-0.8600030508756479
2023-04-24,60844.63876657481,148231.63876657482,16,0.00192957280331707,-0.8597329165700701
2023-04-25,60844.63876657481,146344.63876657482,16,-0.01273007581715746,-0.8615185271767847
2023-04-26,60844.63876657481,148426.63876657482,16,0.014226691305862404,-0.8595483940113476
2023-04-27,60844.63876657481,148937.63876657482,16,0.003442778225299703,-0.8590648502805416
2023-04-28,60844.63876657481,149420.63876657482,16,0.0032429680233951874,-0.8586078020966289
2023-05-04,43386.59484244483,152589.5948424448,17,0.021208288908606043,-0.8556091155140714
2023-05-05,43386.59484244483,151907.5948424448,17,-0.004469505281170627,-0.8562544713348341
2023-05-08,72261.9466062898,152381.9466062898,13,0.00312263362695564,-0.8558056067132997
2023-05-09,72261.9466062898,150229.9466062898,13,-0.014122407856884345,-0.8578419787459706
2023-05-10,72261.9466062898,149455.9466062898,13,-0.005152101944284393,-0.8585743913636691
2023-05-11,72261.9466062898,150004.9466062898,13,0.003673323226450309,-0.8580548893906503
2023-05-12,72261.9466062898,149398.9466062898,13,-0.004039866775797263,-0.8586283287269879
2023-05-15,72886.98121853976,148091.98121853976,13,-0.008748156646607885,-0.859865070252677
2023-05-16,72886.98121853976,146828.98121853976,13,-0.00852848337639689,-0.8610602086714796
2023-05-17,72886.98121853976,146578.98121853976,13,-0.0017026611362773725,-0.8612967760544572
2023-05-18,72886.98121853976,146152.98121853976,13,-0.0029062829913168997,-0.861699886875051
2023-05-19,72886.98121853976,146296.98121853976,13,0.0009852689886953314,-0.8615636240624558
2023-05-22,81146.87554098976,146087.87554098974,12,-0.0014293232560803615,-0.8617614943940708
2023-05-23,81146.87554098976,145949.87554098974,12,-0.0009446369145211797,-0.8618920795894744
2023-05-24,81146.87554098976,145928.87554098974,12,-0.0001438850147844617,-0.8619119512496446
